Date,Name,Open,High,Low,Close,Change,%
2023-10-09,BTC,"27,907","27,996","27,297",27614.0,214.0,0.77
2023-10-08,BTC,"27,884","28,106","27,733",27907.0,293.0,1.05
2023-10-07,BTC,"27,973","28,226","27,874",27884.0,-23.0,-0.08
2023-10-06,BTC,"27,487","28,054","27,195",27972.0,88.0,0.31
2023-10-05,BTC,"27,627","28,112","27,374",27487.0,-485.0,-1.76
2023-10-04,BTC,"27,269","27,825","27,194",27627.0,140.0,0.51
2023-10-03,BTC,"27,970","27,971","27,258",27268.0,-359.0,-1.32
2023-10-02,BTC,"27,105","28,565","27,061",27969.0,701.0,2.51
2023-10-01,BTC,"27,031","27,281","26,959",27105.0,-864.0,-3.19
2023-09-30,BTC,"26,921","27,089","26,867",27031.0,-74.0,-0.27
2023-09-29,BTC,"27,106","27,226","26,713",26921.0,-110.0,-0.41
2023-09-28,BTC,"26,241","27,287","26,208",27105.0,184.0,0.68
2023-09-27,BTC,"26,241","26,819","26,098",26241.0,-864.0,-3.29
2023-09-26,BTC,"26,335","26,418","26,091",26241.0,0.0,0.0
2023-09-25,BTC,"26,455","26,520","26,005",26336.0,95.0,0.36
2023-09-24,BTC,"26,614","26,718","26,392",26455.0,119.0,0.45
2023-09-23,BTC,"26,539","26,635","26,496",26614.0,159.0,0.6
2023-09-22,BTC,"26,607","26,731","26,491",26539.0,-75.0,-0.28
2023-09-21,BTC,"26,938","27,234","26,379",26607.0,68.0,0.26
2023-09-20,BTC,"27,198","27,382","26,846",26938.0,331.0,1.23
2023-09-19,BTC,"26,834","27,491","26,678",27198.0,260.0,0.96
2023-09-18,BTC,"26,512","27,420","26,413",26834.0,-364.0,-1.36
2023-09-17,BTC,"26,542","26,616","26,444",26512.0,-322.0,-1.21
2023-09-16,BTC,"26,410","26,872","26,384",26542.0,30.0,0.11
2023-09-15,BTC,"26,686","26,710","26,227",26410.0,-132.0,-0.5
2023-09-14,BTC,"26,156","26,824","26,153",26686.0,276.0,1.03
2023-09-13,BTC,"26,074","26,395","25,777",26156.0,-530.0,-2.03
2023-09-12,BTC,"25,006","26,503","24,926",26074.0,-82.0,-0.31
2023-09-11,BTC,"25,800","26,006","24,963",25006.0,-1068.0,-4.27
2023-09-10,BTC,"25,868","25,910","25,608",25800.0,794.0,3.08
2023-09-09,BTC,"25,883","25,926","25,804",25868.0,68.0,0.26
2023-09-08,BTC,"25,877","26,414","25,664",25882.0,14.0,0.05
2023-09-07,BTC,"25,657","25,952","25,609",25877.0,-5.0,-0.02
2023-09-06,BTC,"25,676","25,999","25,394",25656.0,-221.0,-0.86
2023-09-05,BTC,"25,884","25,907","25,581",25676.0,20.0,0.08
2023-09-04,BTC,"26,002","26,105","25,732",25884.0,208.0,0.8
2023-09-03,BTC,"25,832","26,040","25,819",26002.0,118.0,0.45
2023-09-02,BTC,"25,622","25,974","25,560",25832.0,-170.0,-0.66
2023-09-01,BTC,"26,161","26,178","25,337",25622.0,-210.0,-0.82
2023-08-31,BTC,"27,181","27,528","25,960",26161.0,539.0,2.06
2023-08-30,BTC,"27,851","27,878","27,051",27182.0,1021.0,3.76
2023-08-29,BTC,"25,981","28,128","25,915",27852.0,670.0,2.41
2023-08-28,BTC,"26,113","26,223","25,863",25981.0,-1871.0,-7.2
2023-08-27,BTC,"26,029","26,167","25,965",26113.0,132.0,0.51
2023-08-26,BTC,"25,956","26,098","25,947",26029.0,-84.0,-0.32
2023-08-25,BTC,"26,006","26,279","25,771",25956.0,-73.0,-0.28
2023-08-24,BTC,"26,632","26,708","25,878",26006.0,50.0,0.19
2023-08-23,BTC,"25,768","26,789","25,381",26632.0,626.0,2.35
2023-08-22,BTC,"26,094","26,222","25,729",25768.0,-864.0,-3.35
2023-08-21,BTC,"26,135","26,274","25,831",26095.0,327.0,1.25
2023-08-20,BTC,"26,129","26,206","25,997",26135.0,40.0,0.15
2023-08-19,BTC,"26,029","26,251","25,800",26129.0,-6.0,-0.02
2023-08-18,BTC,"27,857","27,878","25,392",26028.0,-101.0,-0.39
2023-08-17,BTC,"29,085","29,105","27,705",27857.0,1829.0,6.57
2023-08-16,BTC,"29,153","29,221","28,928",29089.0,1232.0,4.24
2024-08-16,ETH,"2,546.56","2,628.07","2,535.40",2612.28,,
2024-08-15,ETH,"2,676.64","2,678.89","2,519.20",2530.33,-81.95000000000027,-3.24
2024-08-14,ETH,"2,699.95","2,776.58","2,638.24",2676.68,146.3499999999999,5.47
2024-08-13,ETH,"2,681.50","2,746.62","2,613.58",2699.95,23.269999999999982,0.86
2024-08-12,ETH,"2,555.12","2,721.58","2,515.09",2681.04,-18.909999999999854,-0.71
2024-08-11,ETH,"2,605.98","2,715.01","2,544.36",2556.24,-124.80000000000018,-4.88
2024-08-10,ETH,"2,594.86","2,642.64","2,566.95",2605.65,49.41000000000031,1.9
2024-08-09,ETH,"2,570.67","2,720.98","2,556.97",2595.22,-10.430000000000291,-0.4
2024-08-08,ETH,"2,349.15","2,604.99","2,317.07",2571.27,-23.949999999999818,-0.93
2024-08-07,ETH,"2,488.72","2,550.16","2,311.07",2347.89,-223.3800000000001,-9.51
2024-08-06,ETH,"2,434.46","2,550.33","2,413.28",2488.72,140.82999999999993,5.66
2024-08-05,ETH,"2,751.52","2,751.53","2,133.03",2435.96,-52.75999999999976,-2.17
2024-08-04,ETH,"2,891.08","2,929.67","2,648.49",2751.44,315.48,11.47
2024-08-03,ETH,"3,014.80","3,015.61","2,881.53",2890.86,139.42000000000007,4.82
2024-08-02,ETH,"3,167.62","3,214.79","2,988.21",3015.95,125.08999999999969,4.15
2024-08-01,ETH,"3,220.19","3,243.89","3,079.55",3165.51,149.5600000000004,4.72
2024-07-31,ETH,"3,278.41","3,347.76","3,216.62",3220.64,55.129999999999654,1.71
2024-07-30,ETH,"3,321.20","3,362.85","3,235.67",3280.67,60.0300000000002,1.83
2024-07-29,ETH,"3,262.05","3,395.00","3,252.50",3326.51,45.840000000000146,1.38
2024-07-28,ETH,"3,241.36","3,293.23","3,201.86",3262.05,-64.46000000000004,-1.98
2024-07-27,ETH,"3,254.36","3,327.56","3,196.42",3242.85,-19.200000000000273,-0.59
2024-07-26,ETH,"3,153.74","3,285.00","3,150.53",3254.15,11.300000000000182,0.35
2024-07-25,ETH,"3,374.43","3,374.44","3,089.67",3153.75,-100.40000000000009,-3.18
2024-07-24,ETH,"3,483.89","3,499.28","3,361.00",3374.44,220.69000000000005,6.54
2024-07-23,ETH,"3,487.99","3,540.34","3,396.00",3484.9,110.46000000000004,3.17
2024-07-22,ETH,"3,499.01","3,562.89","3,439.58",3487.98,3.0799999999999272,0.09
2024-07-21,ETH,"3,526.01","3,528.82","3,412.19",3499.01,11.0300000000002,0.32
2024-07-20,ETH,"3,506.97","3,538.65","3,482.33",3526.01,27.0,0.77
2024-07-19,ETH,"3,414.02","3,540.64","3,382.83",3506.81,-19.200000000000273,-0.55
2024-07-18,ETH,"3,409.46","3,487.04","3,373.67",3414.02,-92.78999999999996,-2.72
2024-07-17,ETH,"3,440.95","3,515.44","3,378.09",3415.23,1.2100000000000364,0.04
2024-07-16,ETH,"3,435.95","3,497.50","3,350.01",3443.31,28.079999999999927,0.82
2024-07-15,ETH,"3,200.77","3,444.61","3,198.63",3434.57,-8.739999999999782,-0.25
2024-07-14,ETH,"3,163.01","3,224.45","3,146.50",3201.07,-233.5,-7.29
2024-07-13,ETH,"3,110.69","3,169.38","3,109.45",3163.74,-37.33000000000038,-1.18
2024-07-12,ETH,"3,114.26","3,155.33","3,048.46",3110.69,-53.04999999999973,-1.71
2024-07-11,ETH,"3,095.21","3,210.51","3,058.40",3114.12,3.4299999999998363,0.11
2024-07-10,ETH,"3,071.04","3,148.46","3,024.37",3095.22,-18.90000000000009,-0.61
2024-07-09,ETH,"2,997.89","3,110.84","2,985.81",3071.0,-24.2199999999998,-0.79
2024-07-08,ETH,"2,998.32","3,085.69","2,826.31",2997.9,-73.09999999999991,-2.44
2024-07-07,ETH,"3,063.97","3,080.02","2,957.08",2998.32,0.42000000000007276,0.01
2024-07-06,ETH,"2,974.73","3,073.29","2,956.05",3063.8,65.48000000000002,2.14
2024-07-05,ETH,"3,140.72","3,168.34","2,828.61",2973.72,-90.08000000000038,-3.03
2024-07-04,ETH,"3,256.94","3,307.59","3,090.01",3140.7,166.98000000000002,5.32
2024-07-03,ETH,"3,414.20","3,426.49","3,255.47",3255.57,114.87000000000035,3.53
2024-07-02,ETH,"3,461.87","3,464.93","3,398.39",3414.19,158.6199999999999,4.65
2024-07-01,ETH,"3,417.38","3,516.14","3,405.00",3462.83,48.63999999999987,1.4
2024-06-30,ETH,"3,377.02","3,427.91","3,351.45",3418.73,-44.09999999999991,-1.29
2024-06-29,ETH,"3,383.85","3,400.00","3,362.96",3377.02,-41.710000000000036,-1.24
2024-06-28,ETH,"3,439.17","3,482.00","3,364.05",3382.98,5.960000000000036,0.18
2024-06-27,ETH,"3,388.00","3,470.72","3,362.00",3440.97,57.98999999999978,1.69
2024-06-26,ETH,"3,409.93","3,424.18","3,328.14",3388.0,-52.9699999999998,-1.56
2024-06-25,ETH,"3,308.68","3,426.88","3,306.42",3410.28,22.2800000000002,0.65
2024-06-24,ETH,"3,433.50","3,437.20","3,244.35",3308.81,-101.47000000000025,-3.07
2024-06-23,ETH,"3,493.48","3,519.43","3,413.57",3433.51,124.70000000000027,3.63
2024-06-22,ETH,"3,519.74","3,525.35","3,476.22",3493.48,59.9699999999998,1.72
2024-06-21,ETH,"3,524.13","3,542.85","3,445.80",3518.95,25.4699999999998,0.72
2024-06-20,ETH,"3,550.23","3,620.00","3,482.61",3524.13,5.180000000000291,0.15
2024-06-19,ETH,"3,461.13","3,586.45","3,452.89",3550.31,26.179999999999836,0.74
2024-06-18,ETH,"3,513.07","3,528.40","3,372.68",3458.98,-91.32999999999993,-2.64
2024-06-17,ETH,"3,595.78","3,649.60","3,466.22",3513.59,54.61000000000013,1.55
2024-06-16,ETH,"3,550.59","3,605.46","3,542.03",3595.78,82.19000000000005,2.29
2024-06-15,ETH,"3,412.03","3,589.99","3,411.32",3550.59,-45.190000000000055,-1.27
2024-06-14,ETH,"3,475.44","3,529.49","3,364.09",3410.65,-139.94000000000005,-4.1
